period,org_code,org_name,type1_attendances,within_4h_type1,four_hour_pct_type1,wait_12plus_dta
2025-11-01,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13220,5312,40.2,829
2025-11-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,5042,2107,41.8,29
2025-11-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9961,4239,42.6,534
2025-11-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13016,5565,42.8,495
2025-11-01,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7192,3097,43.1,362
2025-11-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9695,4194,43.3,857
2025-11-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,14698,6679,45.4,1093
2025-11-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10683,4857,45.5,1454
2025-11-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8763,4073,46.5,373
2025-11-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6370,2966,46.6,325
2025-11-01,RMC,BOLTON NHS FOUNDATION TRUST,8768,4133,47.1,395
2025-11-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,8819,4255,48.2,432
2025-11-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7319,3558,48.6,569
2025-11-01,RJN,EAST CHESHIRE NHS TRUST,4516,2215,49.0,549
2025-11-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,13836,6790,49.1,1083
2025-11-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7413,3652,49.3,24
2025-11-01,RH5,SOMERSET NHS FOUNDATION TRUST,11913,5922,49.7,87
2025-11-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,13768,6857,49.8,667
2025-11-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,8090,4040,49.9,875
2025-11-01,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8870,4445,50.1,9
2025-11-01,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6989,3545,50.7,922
2025-11-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8917,4527,50.8,404
2025-11-01,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,11171,5698,51.0,306
2025-11-01,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,9292,4754,51.2,185
2025-11-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5805,2976,51.3,613
2025-11-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11736,6021,51.3,2
2025-11-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8397,4344,51.7,655
2025-11-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16331,8461,51.8,1040
2025-11-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,6143,3196,52.0,326
2025-11-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5129,2670,52.1,37
2025-11-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11914,6262,52.6,386
2025-11-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,8986,4820,53.6,101
2025-11-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,10929,5875,53.8,461
2025-11-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7533,4078,54.1,325
2025-11-01,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6663,3624,54.4,42
2025-11-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,16440,8971,54.6,506
2025-11-01,R1H,BARTS HEALTH NHS TRUST,26111,14363,55.0,1000
2025-11-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8182,4512,55.1,0
2025-11-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8206,4525,55.1,466
2025-11-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,21369,11783,55.1,1160
2025-11-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10617,5859,55.2,484
